facetID,X,Y,Z,x1,y1,z1,x2,y2,z2,x3,y3,z3
16638,0.339433,-0.122777,0.932583,29.8582,-5.36918e-15,-18.9538,31.5437,0.692587,-19.4761,29.8582,1.38517,-18.7714
16639,0.339433,-0.122777,0.932583,31.5437,1.38517,-19.3849,29.8582,1.38517,-18.7714,31.5437,0.692587,-19.4761
16640,0.339433,-0.122776,0.932583,33.2291,1.38517,-19.9984,34.9146,2.07776,-20.5206,33.2291,2.77035,-19.816
16641,0.339432,-0.122775,0.932584,34.9146,2.77035,-20.4294,33.2291,2.77035,-19.816,34.9146,2.07776,-20.5206
16642,0.339433,-0.122777,0.932583,29.8582,1.38517,-18.7714,31.5437,2.07776,-19.2937,29.8582,2.77035,-18.5891
16643,0.339433,-0.122777,0.932583,31.5437,2.77035,-19.2025,29.8582,2.77035,-18.5891,31.5437,2.07776,-19.2937
16644,0.339433,-0.359964,0.869029,24.8019,6.56698,-15.6449,26.4873,6.87371,-16.1761,24.8019,7.06442,-15.4388
16645,0.339432,-0.359964,0.869029,26.4873,7.86858,-15.764,24.8019,7.06442,-15.4388,26.4873,6.87371,-16.1761
16646,0.339433,-0.359964,0.869029,28.1728,7.18044,-16.7074,29.8582,7.48716,-17.2387,28.1728,7.67787,-16.5013
16647,0.339433,-0.359965,0.869029,29.8582,8.48203,-16.8266,28.1728,7.67787,-16.5013,29.8582,7.48716,-17.2387
16648,0.339432,-0.359964,0.869029,28.1728,8.17531,-16.2953,29.8582,8.48203,-16.8266,28.1728,8.67274,-16.0893
16649,0.339432,-0.359964,0.869029,29.8582,9.4769,-16.4145,28.1728,8.67274,-16.0893,29.8582,8.48203,-16.8266
16650,0.339433,-0.359964,0.869029,29.8582,4.90561,-18.308,31.5437,5.70977,-18.6332,29.8582,6.19638,-17.7733
16651,0.339433,-0.359963,0.869029,31.5437,6.35516,-18.3659,29.8582,6.19638,-17.7733,31.5437,5.70977,-18.6332
16652,0.339433,-0.359964,0.869029,33.2291,6.51393,-18.9584,34.9146,7.31809,-19.2836,33.2291,7.80471,-18.4238
16653,0.339432,-0.359964,0.869029,34.9146,7.96348,-19.0163,33.2291,7.80471,-18.4238,34.9146,7.31809,-19.2836
16654,0.339433,-0.359964,0.869029,29.8582,6.19638,-17.7733,31.5437,7.00055,-18.0985,29.8582,7.48716,-17.2387
16655,0.339433,-0.359964,0.869029,31.5437,7.64593,-17.8312,29.8582,7.48716,-17.2387,31.5437,7.00055,-18.0985
16656,0.339433,-0.57262,0.746252,24.8019,10.3924,-13.4121,26.4873,10.8262,-13.8459,24.8019,10.8196,-13.0843
16657,0.339433,-0.57262,0.746252,26.4873,11.6805,-13.1904,24.8019,10.8196,-13.0843,26.4873,10.8262,-13.8459
16658,0.339433,-0.572619,0.746252,28.1728,11.26,-14.2797,29.8582,11.6937,-14.7134,28.1728,11.6871,-13.9519
16659,0.339433,-0.572619,0.746252,29.8582,12.5481,-14.0579,28.1728,11.6871,-13.9519,29.8582,11.6937,-14.7134
16660,0.339433,-0.572619,0.746252,28.1728,12.1143,-13.6241,29.8582,12.5481,-14.0579,28.1728,12.5414,-13.2964
16661,0.339433,-0.572619,0.746252,29.8582,13.4024,-13.4024,28.1728,12.5414,-13.2964,29.8582,12.5481,-14.0579
16662,0.339433,-0.572619,0.746252,29.8582,9.4769,-16.4145,31.5437,10.3378,-16.5205,29.8582,10.5853,-15.564
16663,0.339433,-0.572619,0.746252,31.5437,10.892,-16.0952,29.8582,10.5853,-15.564,31.5437,10.3378,-16.5205
16664,0.339433,-0.572619,0.746252,33.2291,11.1988,-16.6265,34.9146,12.0597,-16.7325,33.2291,12.3072,-15.776
16665,0.339432,-0.572619,0.746252,34.9146,12.6139,-16.3072,33.2291,12.3072,-15.776,34.9146,12.0597,-16.7325
16666,0.339433,-0.572619,0.746252,29.8582,10.5853,-15.564,31.5437,11.4463,-15.67,29.8582,11.6937,-14.7134
16667,0.339433,-0.572619,0.746252,31.5437,12.0005,-15.2447,29.8582,11.6937,-14.7134,31.5437,11.4463,-15.67
16668,0.339433,-0.746252,0.57262,24.8019,13.5096,-10.2654,26.4873,14.0409,-10.5721,24.8019,13.8374,-9.8382
16669,0.339433,-0.746252,0.572619,26.4873,14.6964,-9.71777,24.8019,13.8374,-9.8382,26.4873,14.0409,-10.5721
16670,0.339432,-0.746252,0.572619,28.1728,14.5721,-10.8788,29.8582,15.1034,-11.1855,28.1728,14.8999,-10.4517
16671,0.339433,-0.746253,0.572619,29.8582,15.7589,-10.3312,28.1728,14.8999,-10.4517,29.8582,15.1034,-11.1855
16672,0.339433,-0.746253,0.572619,28.1728,15.2277,-10.0245,29.8582,15.7589,-10.3312,28.1728,15.5554,-9.59734
16673,0.339433,-0.746252,0.572619,29.8582,16.4145,-9.4769,28.1728,15.5554,-9.59734,29.8582,15.7589,-10.3312
16674,0.339433,-0.746252,0.572619,29.8582,13.4024,-13.4024,31.5437,14.2614,-13.2819,29.8582,14.2529,-12.294
16675,0.339433,-0.746252,0.572619,31.5437,14.6867,-12.7277,29.8582,14.2529,-12.294,31.5437,14.2614,-13.2819
16676,0.339433,-0.746252,0.57262,33.2291,15.1204,-13.1615,34.9146,15.9795,-13.0411,33.2291,15.971,-12.0531
16677,0.339433,-0.746252,0.572619,34.9146,16.4047,-12.4869,33.2291,15.971,-12.0531,34.9146,15.9795,-13.0411
16678,0.339433,-0.746253,0.572619,29.8582,14.2529,-12.294,31.5437,15.1119,-12.1735,29.8582,15.1034,-11.1855
16679,0.339433,-0.746252,0.572619,31.5437,15.5372,-11.6193,29.8582,15.1034,-11.1855,31.5437,15.1119,-12.1735
16680,0.339433,-0.86903,0.359962,24.8019,15.7061,-6.41903,26.4873,16.2987,-6.5778,24.8019,15.9122,-5.92159
16681,0.339433,-0.869029,0.359963,26.4873,16.7108,-5.58293,24.8019,15.9122,-5.92159,26.4873,16.2987,-6.5778
16682,0.339433,-0.869029,0.359964,28.1728,16.8912,-6.73658,29.8582,17.4838,-6.89535,28.1728,17.0973,-6.23914
16683,0.339433,-0.869029,0.359964,29.8582,17.8959,-5.90048,28.1728,17.0973,-6.23914,29.8582,17.4838,-6.89535
16684,0.339433,-0.869029,0.359964,28.1728,17.3033,-5.7417,29.8582,17.8959,-5.90048,28.1728,17.5094,-5.24427
16685,0.339433,-0.869029,0.359964,29.8582,18.308,-4.90561,28.1728,17.5094,-5.24427,29.8582,17.8959,-5.90048
